Username,location,date,content,Rating
Citlali Castro,US,"Jul 13, 2021Verified","Love that their shipping is super fastLove that their shipping is super fast. Ordered Tuesday morning and by Wednesday my shipment was at my front doorDate of experience: July 13, 2021",5
Judith Rivera,US,"Oct 14, 2020Verified","Beautiful cake standThe item is stunning, perfect size, very sturdy and arrived quickly, can't wait to use at my party. I would definitely recommend to others.  It's worth it for the price, thank you!Date of experience: October 14, 2020",5
Rebecca Emery,US,"Aug 15, 2021Verified","Everything was excellentEverything was excellent, buying was easy, delivery was extremely fast and most of all my mini chandelier is absolutely adorable. I love it.Date of experience: August 15, 2021",5
Darnelle,US,"Jan 11, 2022Verified","Elegant Candle HoldersThe candle holders exceeded my expectations in terms of the good quality and elegant design.  This is a great enhancement to my dinning room!Date of experience: January 11, 2022",5
Bryanna Park,US,"Mar 12, 2022Verified","I have reached out twice to the company…I have reached out twice to the company with no reply. I placed an order a month ago and have not received my item nor any updates about shipping.Date of experience: March 12, 2022",1
Kaylie A.,US,"May 6, 2022Verified","I wish I could give this company 0/5…I wish I could give this company 0/5 stars. I ordered the 16 Inch Round Vintage Metal Wedding Cake Stand in Gold on March 13th for my wedding on May 14th. I received a notification email that my order shipped on March 30th. After checking the shipping status and seeing that it was still in the “Label Created” status, I contacted Amalfi Decor’s customer service regarding the status of my order on April 12th. I was told that it was now considered “lost” and that they would not be able to send me another at the time because they were out of stock, however, they had the 14 inch version of the same exact cake stand in stock that they could ship right away and I would receive a $10 refund for the price difference. I agreed, since I could still make that size work with my wedding cake, and received the refund. Now, it is May 6th and I STILL have yet to receive a cake stand from them and they STILL have $57.49 of my money that was remaining towards the 14 inch cake stand. Since it is too close to my wedding, I have already had to order a different cake stand from another company and am trying to receive the remainder of my refund. I have called several times on multiple different days and no one answers. I have also sent multiple emails requesting the refund and have not received a response. I have had to escalate the issue to PayPal to attempt to get my money back since Amalfi Decor does not want to correct this issue. I would absolutely recommend NOT purchasing from this company, unless you would like to deal with the headache of not receiving your order and then not being able to reach them for a refund.Date of experience: May 06, 2022",1
Lori,US,"Mar 9, 2021Verified","Happy Customer!Very happy with the cake stand, it is absolutely beautiful and exactly what we had hoped for. Very sturdy, yet elegant!Date of experience: March 09, 2021",5
Eman Taisyer,US,"Mar 16, 2021Verified","I love the items and the quality and…I love the items and the quality and price is great very understandable customer service,and very quick in resolving my issue Thank youDate of experience: March 16, 2021",5
Joshua F,US,"Jan 12, 2022Verified","The product is beautiful we are using…The product is beautiful we are using them for center pieces for our wedding exactly what i ordered i recievedDate of experience: January 12, 2022",5
Betty Appling,US,"Oct 27, 2021Verified","Excellent productsExcellent products. The packaging were neat and secured. Can wait to display them  with my cake orders in November 21, 2021.Date of experience: October 27, 2021",5
